	ACBA	ACCO	APAU	APBI	APMA	APTO	BORU	CARO	CECR	CHCA	CHOC	COGL	CRRO	GNTH	GOGE	HAAL	HAGA	HAMA	HAPI	HAPO	HARA	HAsp	HOCI	MAMA	MATR	OCCH	PABA	POAR	PRHI	SACO	SCTA	SETI	SPAT	SPAU	SPRA	SPVI	STDI	STLE	STPA	STVA	THBI
T-31	0	0	0	0	0	0	0	0	0	0	0	0.60206002	0.30103001	0	0	0	0	0.47712126	0	0	0	0.95424253	0	0.47712126	0	0	0	0	0	0	0	0	0	0	0	0.84509802	0	0	0	0	0
A-06	0	0	0	0	0	0	0	0	0	0	0	1.25527251	0	1.04139268	0	0	0	0.30103001	0.30103001	0	0	1.55630255	0	0.30103001	0	0	0	0	0	0	0	0.47712126	0	0	0	0.69897002	0	0	0	0	0
A-12	0	0	0.30103001	0	0	0	0	0	0	0	0	0	0	0.77815127	0	0	0	0	0	0	0	0.47712126	0	0	0	0	0	0	0	0	0	0	0	0.30103001	0	0.77815127	0	0.30103001	0	0	0
A-13	0	0.30103001	0	0.30103001	0	0	0	0	0	0	0	1.56820178	0.30103001	1.49136174	0	0	0	0	0	0	0	0.30103001	0	0.47712126	0	0	0	0	0	0	0	0.30103001	0	0.47712126	0	0.30103001	0	0	0	0	0
A-08	0.47712126	0	0.30103001	0.47712126	0.47712126	0	0	0	0	0	0	0.95424253	0	0.47712126	0.30103001	0	0	0	0	0	0	1	0	0.60206002	0	0.47712126	0	0	0	0	0.77815127	0	0	0.30103001	0	1.04139268	0	0.47712126	0	0	0
A-15	0	0.30103001	0	0	0.30103001	0	0.84509802	0	0	0	0	0.30103001	0	0.77815127	0	0	0.30103001	0	0	0	0	0.60206002	0	0	0	0.30103001	0	0	0	0	0	0	0	0	0	0.84509802	0	0.30103001	0	0	0.30103001
T-27	0	0.30103001	0	0	0	0	0	0	0	0	0	1.7075702	0	1.79239166	0	0	0	0.30103001	0	0	0	0.60206002	0	0.60206002	0	0	0	0	0	0	0	0	0	0.47712126	0	0.90309	0.30103001	0.90309	0	0	0.47712126
A-07	0	0	0	0.30103001	0.47712126	0.30103001	0	0	0	0	0	1.55630255	0	0.95424253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47712126	0	0	0	0	0.84509802	0	0	0	0	0.47712126
A-09	0	0	0	0	0	0	0	0	0.30103001	0	0.30103001	1.17609131	0	0.95424253	0	0	0	0	0	0	0.30103001	0	0.47712126	0.84509802	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77815127	0	0	0.47712126
A-11	0	0	0	0	0	0	0	0	0	0	0	1.89209461	0	1.14612806	0	0	0	0	0	0	0	1.11394334	0.47712126	0.95424253	0.47712126	0	0	0.30103001	0.30103001	0	0	0.30103001	0.30103001	0.30103001	0	0.69897002	0.90309	0.69897002	0.30103001	0	0.69897002
T-02	0	0	0	0	0.30103001	0	0.77815127	0	0	0	0	1.27875364	0.47712126	0.77815127	0	0	0	0	0	0	0	0	0	0.90309	0.30103001	0	0	0	0	0	0	0	0	0	0	0.47712126	0	0.95424253	0.47712126	0.47712126	0
T-06	0	0	0	0	0	0	0.84509802	0	0	0	0	1.75587487	0.60206002	1.50514996	0	0	0	0.30103001	0	0	0	0	0	0.60206002	0	0	0	0	0.30103001	0	0	0	0	0.30103001	0	0.47712126	0	0.84509802	0.47712126	0.47712126	0.30103001
