,Common Name,Scientific Name,Total abundance,Percent ,
169,Spotted Trunkfish,Lactophrys bicaudalis,103,4.87E-03,
170,Trunkfish,Lactophrys trigonus,101,4.77E-03,
171,Little Tunny,Euthynnus alletteratus,96,4.51E-03,
172,Painted Wrasse,Halichoeres caudalis,93,4.37E-03,
173,Black Hamlet,Hypoplectrus nigricans,92,4.37E-03,
174,Sand Diver,Synodus intermedius,91,4.29E-03,
175,Banner Goby,Microgobius microlepis,90,4.25E-03,
176,Spottail Pinfish,Diplodus holbrookii,82,3.87E-03,
177,Littlehead Porgy,Calamus proridens,81,3.83E-03,
178,School Bass,Schultzea beta,81,3.83E-03,
179,Lookdown,Selene vomer,81,3.80E-03,
180,Spotted Eagle Ray,Aetobatus narinari,78,3.68E-03,
181,Roughhead Blenny,Acanthemblemaria aspera,78,3.66E-03,
182,Houndfish,Tylosurus crocodilus,75,3.52E-03,
183,Honeycomb Cowfish,Acanthostracion polygonia,73,3.43E-03,
184,Southern Stingray,Dasyatis americana,72,3.42E-03,
185,Greater Amberjack,Seriola dumerili,64,3.02E-03,
186,Greater Soapfish,Rypticus saponaceus,64,3.02E-03,
187,Striped Burrfish,Chilomycterus schoepfii,64,3.00E-03,
188,Spotted Scorpionfish,Scorpaena plumieri,62,2.92E-03,
189,Flamefish,Apogon maculatus,61,2.88E-03,
190,Tan Hamlet,Hypoplectrus tann,59,2.79E-03,
191,Sand Perch,Diplectrum formosum,59,2.76E-03,
192,Orange Filefish,Aluterus schoepfii,55,2.59E-03,
193,Redspotted Hawkfish,Amblycirrhitus pinos,50,2.37E-03,
194,Brown Garden Eel,Centropomus undecimalis,50,2.34E-03,
195,Common Snook,Heteroconger longissimus,50,2.34E-03,
196,Goldentail Moray,Gymnothorax miliaris,49,2.30E-03,
197,Goliath Grouper,Epinephelus itajara,49,2.29E-03,
198,Dusky Squirrelfish,Sargocentron vexillarium,46,2.19E-03,
199,Almaco Jack,Lagodon rhomboides,45,2.13E-03,
200,Pinfish,Seriola rivoliana,45,2.13E-03,
201,Yellowfin Grouper,Mycteroperca venenosa,44,2.08E-03,
202,Sheepshead Porgy,Calamus penna,44,2.05E-03,
203,Yellowmouth Grouper,Mycteroperca interstitialis,42,1.98E-03,
204,Leatherjack,Oligoplites saurus,41,1.94E-03,
205,Jackknife Fish,Equetus lanceolatus,38,1.80E-03,
206,Barred Cardinalfish,Apogon binotatus,36,1.70E-03,
207,Redfin Needlefish,Strongylura notata,36,1.68E-03,
208,Whitespotted Filefish,Cantherhines macrocerus,33,1.57E-03,
209,Belted Cardinalfish,Apogon townsendi,33,1.54E-03,
210,Cubera Snapper,Lutjanus cyanopterus,32,1.49E-03,
211,Spanish Mackerel,Scomberomorus maculatus,30,1.39E-03,
212,Remora,Remora remora,28,1.32E-03,
213,Dusky Jawfish,Opistognathus whitehursti,27,1.28E-03,
214,Black Durgon,Melichthys niger,26,1.21E-03,
215,Cubbyu,Pareques umbrosus,26,1.20E-03,
216,Bridled Burrfish,Chilomycterus antennatus,25,1.16E-03,
217,Inshore Lizardfish,Synodus foetens,24,1.13E-03,
218,Sharknose Goby,Elacatinus evelynae,24,1.11E-03,
219,Sheepshead,Archosargus probatocephalus,23,1.06E-03,
220,Dwarf Wrasse,Doratonotus megalepis,21,9.68E-04,
221,King Mackerel,Scomberomorus cavalla,20,9.29E-04,
222,Atlantic Creolefish,Alphestes afer,20,9.21E-04,
223,Mutton Hamlet,Paranthias furcifer,20,9.21E-04,
224,Reef Squirrelfish,Sargocentron coruscum,19,8.98E-04,
225,Barred Blenny,Hypleurochilus bermudensis,18,8.50E-04,
226,Blackhead Blenny,Emblemariopsis bahamensis,18,8.27E-04,
227,Cherubfish,Centropyge argi,17,8.03E-04,
228,Longjaw Squirrelfish,Neoniphon marianus,17,7.79E-04,
229,Guaguanche,Emblemaria pandionis,16,7.32E-04,
230,Sailfin Blenny,Sphyraena guachancho,16,7.32E-04,
231,Planehead Filefish,Stephanolepis hispidus,15,6.85E-04,
232,African Pompano,Alectis ciliaris,14,6.38E-04,
233,Banded Jawfish,Opistognathus macrognathus,14,6.38E-04,
234,Fringed Filefish,Monacanthus ciliatus,13,6.14E-04,
235,Orangespotted Goby,Nes longus,13,6.14E-04,
236,Shy Hamlet,Hypoplectrus guttavarius,12,5.67E-04,
237,Purplemouth Moray,Carcharhinus perezii,12,5.43E-04,
238,Reef Shark,Gymnothorax vicinus,12,5.43E-04,
239,Knobbed Porgy,Calamus nodosus,11,5.43E-04,
240,Tiger Grouper,Mycteroperca tigris,11,5.35E-04,
241,Red Porgy,Acanthemblemaria maria,11,5.20E-04,
242,Secretary Blenny,Pagrus pagrus,11,5.20E-04,
243,Indigo Hamlet,Enneanectes boehlkei,11,4.96E-04,
244,Longsnout Butterflyfish,Hypoplectrus indigo,11,4.96E-04,
245,Roughhead Triplefin,Prognathodes aculeatus,11,4.96E-04,
246,Lancer Dragonet,Paradiplogrammus bairdi,10,4.80E-04,
247,Bluespotted Cornetfish,Chriodorus atherinoides,10,4.49E-04,
248,Hardhead Halfbeak,Fistularia tabacaria,10,4.49E-04,
249,Palehead Blenny,Labrisomus gobio,10,4.49E-04,
250,Spotfin Mojarra,Eucinostomus argenteus,9,4.41E-04,
251,Whitefin Sharksucker,Echeneis neucratoides,8,3.78E-04,
252,Papillose Blenny,Acanthemblemaria chaplini,8,3.54E-04,
253,Fairy Basslet,Gramma loreto,7,3.31E-04,
254,Silver Porgy,Diplodus argenteus,7,3.07E-04,
255,Barfin Blenny,Elacatinus macrodon,6,2.83E-04,
256,Hairy Blenny,Labrisomus nuchipinnis,6,2.83E-04,
257,Sponge Cardinalfish,Malacoctenus versicolor,6,2.83E-04,
258,Tiger Goby,Phaeoptyx xenus,6,2.83E-04,
259,Black Jack,Bothus lunatus,5,2.36E-04,
260,Peacock Flounder,Caranx lugubris,5,2.36E-04,
261,Rusty Goby,Priolepis hipoliti,5,2.36E-04,
262,Whitespotted Soapfish,Rypticus maculatus,5,2.36E-04,
263,Bridle Cardinalfish,Apogon aurolineatus,5,2.13E-04,
264,Bull Shark,Carcharhinus leucas,5,2.13E-04,
265,Pigfish,Liopropoma eukrines,5,2.13E-04,
266,Wrasse Basslet,Orthopristis chrysoptera,5,2.13E-04,
267,Hybrid Hamlet,Epinephelus flavolimbatus,4,1.89E-04,
268,Orangeside Goby,Gobiosoma dilepis,4,1.89E-04,
269,Reef Scorpionfish,Hypoplectrus hybrid,4,1.89E-04,
270,Yellowedge Grouper,Scorpaenodes caribbaeus,4,1.89E-04,
271,Atlantic Bumper,Carcharhinus limbatus,4,1.65E-04,
272,Blacktip Shark,Chloroscombus chrysurus,4,1.65E-04,
273,Goldline Blenny,Liopropoma rubre,4,1.65E-04,
274,Gulf Flounder,Malacoctenus aurolineatus,4,1.65E-04,
275,Orangeback Bass,Oxyurichthys stigmalophius,4,1.65E-04,
276,Peppermint Basslet,Paralichthys albigutta,4,1.65E-04,
277,Spotfin Goby,Serranus annularis,4,1.65E-04,
278,Dusky Blenny,Coryphopterus lipernes,3,1.42E-04,
279,Ladyfish,Coryphopterus punctipectophorus,3,1.42E-04,
280,Peppermint Goby,Elops saurus,3,1.42E-04,
281,Spotted Goby,Malacoctenus gilli,3,1.42E-04,
282,Vermilion Snapper,Rhomboplites aurorubens,3,1.42E-04,
283,Checkered Puffer,Aluterus monoceros,3,1.18E-04,
284,Leopard Goby,Dermatolepis inermis,3,1.18E-04,
285,Marbled Grouper,Elacatinus saucrum,3,1.18E-04,
286,Timucu,Enchelycore nigricans,3,1.18E-04,
287,Unicorn Filefish,Sphoeroides testudineus,3,1.18E-04,
288,Viper Moray,Strongylura timucu,3,1.18E-04,
289,Eyed Flounder,Bothus ocellatus,2,1.10E-04,
290,Great Hammerhead,Sphyrna mokarran,2,9.45E-05,
291,Bonnethead,Apogon quadrisquamatus,2,7.09E-05,
292,Honeycomb Moray,Chilomycterus atinga,2,7.09E-05,
293,Marbled Blenny,Gymnothorax saxicola,2,7.09E-05,
294,Sawcheek Cardinalfish,Paraclinus marmoratus,2,7.09E-05,
295,Spotted Burrfish,Sphyrna tiburo,2,7.09E-05,
296,Bandtail Searobin,Ahlia egmontis,1,4.72E-05,
297,Conchfish,Antennarius ocellatus,1,4.72E-05,
298,Goldspotted Eel,Astrapogon stellatus,1,4.72E-05,
299,Key Worm Eel,Astroscopus guttatus,1,4.72E-05,
300,Lesser Electric Ray,Carcharhinus falciformis,1,4.72E-05,
301,Northern Stargazer,Chaenopsis limbaughi,1,4.72E-05,
302,Ocellated Frogfish,Elacatinus horsti,1,4.72E-05,
303,Quillfin Blenny,Elacatinus xanthiprora,1,4.72E-05,
304,Red Lizardfish,Hypoplectrus chlorurus,1,4.72E-05,
305,Reticulate Moray,Labrisomus filamentosus,1,4.72E-05,
306,Silky Shark,Muraena retifera,1,4.72E-05,
307,Yellowface Pikeblenny,Myrichthys ocellatus,1,4.72E-05,
308,Yellowline Goby,Narcine bancroftii,1,4.72E-05,
309,Yellowprow Goby,Prionotus ophryas,1,4.72E-05,
310,Yellowtail Hamlet,Synodus synodus,1,4.72E-05,
311,Belted Sandfish,Eucinostomus gula,1,2.36E-05,
312,Giant Manta,Labrisomus bucciferus,1,2.36E-05,
313,Puffcheek Blenny,Manta birostris,1,2.36E-05,
314,Sharptail Eel,Myrichthys breviceps,1,2.36E-05,
315,Silver Jenny,Serranus subligarius,1,2.36E-05,
316,Scalloped Hammerhead,Sphyrna lewini,0,1.57E-05,
